Id	Label	Color
309	Ave Maria	9
310	Miles	4
311	Chowan	4
312	Dartmouth	11
313	Wisconsin-Oshkosh	1
314	Mississippi College	12
315	Virginia-Wise	9
316	Arkansas Tech	12
317	West Liberty State	13
318	Alderson Broaddus	13
319	Limestone College	8
320	Kentucky Wesleyan	6
321	Wesley	9
