Id	Label	Color
308	Ave Maria	5
309	Miles	12
310	Chowan	12
311	Dartmouth	11
312	Wisconsin-Oshkosh	2
313	Mississippi College	9
314	Virginia-Wise	5
315	Arkansas Tech	9
316	West Liberty State	3
317	Alderson Broaddus	3
318	Limestone College	7
319	Kentucky Wesleyan	8
320	Wesley	5
